Season,Name,Team,IP,FA-Z,FC-Z,FS-Z,FO-Z,SI-Z,SL-Z,CU-Z,KC-Z,EP-Z,CH-Z,SC-Z,KN-Z
2025,Sonny Gray,STL,180.2,5.968285085344470,1.3279038362724800,,,4.9836436104320800,-1.8781972535899000,-7.936825543102360,-8.489799499511720,,4.027730217146560,,
2025,Tyler Anderson,LAA,136.1,11.420756272746400,7.858337274921710,,,6.154440487132350,3.3022941031107100,-6.839070129394530,,,7.304118759827040,,
2025,Yu Darvish,SDP,72,8.393704436546150,6.115439124141180,0.8469365437825520,,4.131539941803230,1.2321377420253300,-8.27632490616271,-6.5893129621233300,,4.499232927958170,,
2025,Eduardo Rodriguez,ARI,154.1,8.673273663481410,5.585072510365480,,,7.3164450905539800,1.5348799358042600,-4.013452732816660,,,3.8426585206462700,,
2025,Blake Snell,LAD,61.1,10.552047729492200,,,,,5.417120682565790,-3.2971580060608200,,,6.139185273598250,,
2025,Clay Holmes,NYM,161,8.143170207536140,3.1317757054379100,,,2.18556099883781,-2.7562769521581100,,,,0.8251550814884580,,
2025,Max Fried,NYY,195.1,8.762260653867890,5.353712729357800,,,2.846019710256920,-1.746438649374630,-9.73581529329609,,,2.1998795763838000,,
2025,Zach Eflin,BAL,71.1,6.663081275092230,4.783113440688780,,,1.571470728460350,1.3147172268081800,-3.9085381476433700,,,0.8190407417915960,,
2025,Michael Wacha,KCR,172.2,10.67908031088080,5.6466784965701200,,,9.03143588952851,2.6906488327753000,-6.679425582145020,,,4.663283557976370,,
2025,Kevin Gausman,TOR,193,9.976845031288390,,2.910666862494500,,11.034936904907200,1.279991585038910,,,,,,
2025,Lance McCullers Jr.,HOU,51.1,6.794737361027640,3.5718168920400200,,,2.5031592104615300,2.8559000300264900,,-5.495302098742600,,-1.425495004908920,,
2025,José Berríos,TOR,164,8.814927014802630,5.8190773411801000,,,6.4144427959735600,,-2.402806390910390,,,2.6931143807364500,,
2025,Tyler Glasnow,LAD,90.1,9.668199353190730,,,,8.320742347592210,0.24369406043936400,-8.879073531539350,,,,,
2025,Michael Lorenzen,KCR,140.2,8.753467378162200,4.90572265625,,,4.904921367095150,-0.04968931527534270,-6.7487367359614500,,,5.277805720355580,,
2025,Germán Márquez,COL,126.1,8.387808327151340,,,,6.5469800731803800,3.618084288479990,,-0.02113219150682780,,5.10817444999263,,
2025,Andrew Heaney,PIT,117,7.039953439721560,,,,1.5490386284722200,-0.20836054997813400,-1.9361013348182900,-4.3314226057146000,,2.6999734629755400,,
2025,Matthew Boyd,CHC,179.2,7.475875232660660,,,,5.1895691522277200,0.09185395521276140,-5.161031545166800,,,3.2025544621394200,,
2025,Nick Pivetta,SDP,181.2,11.733273389862800,6.542561044806080,8.317027282714840,,11.13507782252490,2.0812023234817200,-9.36252969484718,,,,,
2025,Lucas Giolito,BOS,145,10.713866335351200,,,,,3.069802665080960,-8.41275917611471,,,7.449636166461840,,
2025,Antonio Senzatela,COL,108,6.875087124693630,,,,7.676055036272320,2.278576909279340,-2.9158490549520700,,,4.213312002328730,,
2025,Luis Castillo,SEA,180.2,6.9664544439935100,,,,2.129612687535890,-0.20942213186881000,,,,-0.2389777239631200,,
