Season,Name,Team,IP,FA-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X
2025,Robbie Ray,SFG,182.1,5.491316859326020,,,,,1.0267427617853300,,-0.13809871416528900,,7.266793081336150,,
2025,Jameson Taillon,CHC,129.2,-4.596891147883860,3.2542420489565300,,,-7.846470552332260,8.573450401076510,5.070297689998850,,,-9.17053443597992,,
2025,Taijuan Walker,PHI,103.2,-5.801625946421680,1.1357543224424800,-7.544459525785300,,-8.972179291213770,3.164663680476850,3.3247297901218200,,,,,
2025,Kyle Hendricks,LAA,164.2,-4.031505351163900,,,,-8.65881571410387,,8.131548611622940,,,-6.949940535555980,,
2025,Chris Bassitt,TOR,169.1,-3.5635921347730500,-0.2041125417757440,-8.994253232497580,,-9.895691645815590,7.626688890496400,9.087407674331330,,,-9.840446873715050,,
2025,Colin Rea,CHC,143.1,-5.362341941918870,0.3256153255314020,-7.900483141447370,,-8.94815417113734,4.2765684169452800,5.567108870671950,,,,,
2025,Seth Lugo,KCR,145.1,-4.587301587301590,0.35688900164703800,-6.066086905343190,,-9.225121646947260,3.9329189534959800,8.22044492779356,8.730147512335530,,-8.73724793551261,,
2025,Adrian Houser,- - -,125,-6.516931041872880,,,,-10.18538055595510,0.9066628234027180,3.6909135499151600,,,-9.340790322907660,,
2025,Nick Martinez,CIN,145,-3.5588803498641300,0.567227204975329,,,-7.817757375616780,-0.23125900513675800,0.776322501046317,,,-6.777384713192110,,
2025,Sonny Gray,STL,180.2,0.49325405410414100,2.5084178835846700,,,-6.3589047841239400,7.673731844190140,7.092707612864690,7.797582626342770,,-8.04299060538346,,
2025,Tyler Anderson,LAA,136.1,4.412168701445270,-0.3807949950152500,,,9.975632611443010,-1.0143263281845500,-1.2101536750793500,,,7.849197253341200,,
2025,Yu Darvish,SDP,72,-6.877540056095570,-1.8201856680795700,-4.0085813941025200,,-10.014361621887700,4.401834756458710,6.104087786967530,5.012913295200890,,-9.122329711914060,,
2025,Eduardo Rodriguez,ARI,154.1,3.5575267949380200,-0.18111725228424400,,,7.408787397904830,-1.758053092069400,-2.9597940647855700,,,9.368359744210780,,
2025,Blake Snell,LAD,61.1,3.153750010899140,,,,,-0.8692916067023030,-6.43896484375,,,7.924653481063530,,
2025,Clay Holmes,NYM,161,-3.936605232913480,0.2954163802297490,,,-8.745023028581270,6.1079645440130000,,,,-7.075149499888660,,
2025,Max Fried,NYY,195.1,2.1741900776707800,-0.28703948554642700,,,6.059020442235710,-8.285966959248810,-5.700272600966020,,,7.9839089133522700,,
2025,Zach Eflin,BAL,71.1,-6.005827162000870,-0.16172885505520600,,,-9.99875165831368,6.583924491450470,6.488878187242450,,,-9.549165302998310,,
2025,Michael Wacha,KCR,172.2,-4.279205796632120,0.5465108731897870,,,-7.781126644736840,1.6984592013888900,6.039527670851030,,,-7.795591188146230,,
2025,Kevin Gausman,TOR,193,-7.115319554284400,,-9.657841530617860,,-11.80881118774410,0.05550375818752970,,,,,,
2025,Lance McCullers Jr.,HOU,51.1,-4.805379075270430,0.5789737312161190,,,-7.863662335051210,8.700720776086570,,7.9177397778753700,,-10.27960107160760,,
2025,José Berríos,TOR,164,-6.2784765625,-0.7951366023013470,,,-9.812877948467550,,7.7652021201959700,,,-8.79351337139423,,
2025,Tyler Glasnow,LAD,90.1,-1.1392215415123100,,,,-6.859829661885250,1.0419022213063800,2.141911071023820,,,,,
2025,Michael Lorenzen,KCR,140.2,-7.090859549386160,-1.3043310546875,,,-10.14198595412230,3.163039087486670,0.7390115087516460,,,-9.228310644776000,,
2025,Germán Márquez,COL,126.1,-6.227200018545990,,,,-8.797105748945150,-1.021145603113010,,0.33275687985303900,,-7.3358770406471100,,
2025,Andrew Heaney,PIT,117,10.165070303243500,,,,11.5478125,-0.5878313366411510,-4.731606129849900,-4.6974222676737300,,10.556396484375,,
2025,Matthew Boyd,CHC,179.2,8.240428003771550,,,,10.317938776299500,-0.536368164361692,-5.622940112540190,,,9.59335186298077,,
2025,Nick Pivetta,SDP,181.2,-1.805771432271820,2.14603010939044,-7.409718322753910,,-5.779519410259960,6.983625994988210,3.78652045270866,,,,,
2025,Lucas Giolito,BOS,145,-4.33419229930192,,,,,0.7482072181827560,2.826844936463890,,,-7.968295550971440,,
2025,Antonio Senzatela,COL,108,-3.088629270067400,,,,-6.241958182198660,1.949420383998330,2.538222111553790,,,-5.991146772335740,,
