Season,Name,Team,Archetype,PC1,PC2,CY_winner,Share
2025,Matthew Liberatore,STL,Kitchen Sink/Finesse Mix,-1.5584798108907214,-1.598565448411065,0,0.0
2025,Taj Bradley,TOT,Power Splitter/Forkballer,7.6643492900746315,-2.6475267520507337,0,0.0
2025,Keider Montero,DET,Knuckle Curve Specialist,-0.013024976719517335,5.454633981965526,0,0.0
2025,Janson Junk,MIA,North/South Power Starter,-0.8708021179556781,-1.8926923178873616,0,0.0
2025,Joey Cantillo,CLE,North/South Power Starter,-2.5432140085761437,-2.253587257645289,0,0.0
2025,JP Sears,TOT,Kitchen Sink/Finesse Mix,-1.2571898677353004,-0.45959761715108616,0,0.0
2025,Ben Brown,CHC,Knuckle Curve Specialist,-0.7265479117171912,4.484847639929185,0,0.0
2025,Brayan Bello,BOS,Cutter/East-West Artist,-0.09651132735347281,1.2883335080016203,0,0.0
2025,Simeon Woods Richardson,MIN,North/South Power Starter,2.813356427176632,-2.6407351597363298,0,0.0
2025,Randy Vasquez,SDP,Cutter/East-West Artist,0.42030063362081926,-1.5390276252317854,0,0.0
2025,Mike Burrows,PIT,Fastball/Sinker Hybrid,-1.054627520832645,-1.8444396874566336,0,0.0
2025,Reese Olson,DET,Fastball/Sinker Hybrid,-0.8139615090660578,-0.9858977887060524,0,0.0
2025,Jacob Lopez,ATH,Kitchen Sink/Finesse Mix,-1.477302681672834,1.250620985981651,0,0.0
2025,Brady Singer,CIN,Cutter/East-West Artist,2.537980426487077,1.2829439690063764,0,0.0
2025,Drew Rasmussen,TBR,Cutter/East-West Artist,0.7908999224394991,-1.325172397807736,0,0.0
2025,George Kirby,SEA,Knuckle Curve Specialist,3.6365318212445703,4.959346612923867,0,0.0
2025,Hunter Brown,HOU,Knuckle Curve Specialist,0.5554328961200564,5.3553236723261595,0,0.38
2025,Quinn Priester,MIL,Sinker/Sidearm Specialist,-0.11980499013414377,-0.17461973048600893,0,0.0
2025,Brandon Walter,HOU,Kitchen Sink/Finesse Mix,-1.4336086336655989,1.2692211378992717,0,0.0
2025,Andre Pallante,STL,Knuckle Curve Specialist,2.191490439110023,5.349181710270302,0,0.0
2025,Ryan Pepiot,TBR,Cutter/East-West Artist,-0.18969912204318815,-1.6814405184653345,0,0.0
