Season,Name,Team,IP,FA-X,FT-X,FC-X,FS-X,FO-X,SI-X,SL-X,CU-X,KC-X,EP-X,CH-X,SC-X,KN-X,NameASCII,PlayerId,MLBAMID
2025,"Colin Rea","CHC",143.1,-5.362341941918871,,0.3256153255314022,-7.900483141447369,,-8.94815417113734,4.2765684169452785,5.567108870671948,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,-4.587301587301587,,0.35688900164703824,-6.066086905343192,,-9.225121646947255,3.9329189534959847,8.22044492779356,8.730147512335526,,-8.73724793551261,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,-6.516931041872879,,,,,-10.18538055595512,0.9066628234027183,3.6909135499151584,,,-9.340790322907656,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,-3.5588803498641304,,0.567227204975329,,,-7.817757375616776,-0.23125900513675796,0.776322501046317,,,-6.777384713192114,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,0.49325405410414086,,2.5084178835846656,,,-6.3589047841239426,7.673731844190141,7.092707612864688,7.797582626342773,,-8.04299060538346,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,4.412168701445268,,-0.3807949950152499,,,9.975632611443014,-1.0143263281845465,-1.2101536750793458,,,7.849197253341195,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,-6.877540056095567,,-1.8201856680795656,-4.0085813941025155,,-10.014361621887703,4.401834756458709,6.104087786967528,5.012913295200893,,-9.122329711914062,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,3.5575267949380165,,-0.18111725228424447,,,7.408787397904829,-1.758053092069404,-2.9597940647855716,,,9.368359744210775,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,3.153750010899135,,,,,,-0.8692916067023027,-6.43896484375,,,7.924653481063529,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,-3.936605232913478,,0.2954163802297492,,,-8.745023028581267,6.1079645440129955,,,,-7.075149499888658,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,2.1741900776707848,,-0.28703948554642705,,,6.059020442235708,-8.285966959248812,-5.700272600966015,,,7.9839089133522725,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,-6.005827162000868,,-0.16172885505520568,,,-9.99875165831368,6.583924491450472,6.488878187242445,,,-9.549165302998311,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,-4.279205796632124,,0.5465108731897866,,,-7.781126644736842,1.6984592013888888,6.039527670851031,,,-7.795591188146234,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,-7.115319554284398,,,-9.657841530617855,,-11.80881118774414,0.05550375818752971,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,-4.805379075270433,,0.5789737312161193,,,-7.863662335051208,8.700720776086566,,7.9177397778753695,,-10.27960107160762,,,"Lance McCullers Jr.",14120,621121
