Season,Name,Team,IP,FA%,FT%,FC%,FS%,FO%,SI%,SL%,CU%,KC%,EP%,CH%,SC%,KN%,UN%,NameASCII,PlayerId,MLBAMID
2025,"Edward Cabrera","MIA",137.2,0.12744227,,,,,0.20648313,0.17273535,0.23579041,,,0.25754885,,,,"Edward Cabrera",21690,665795
2025,"Cole Ragans","KCR",61.2,0.49490269,,0.04726599,,,,0.13809082,,0.1278962,,0.1918443,,,,"Cole Ragans",21846,666142
2025,"José Soriano","LAA",169,0.0858477,,,0.09195402,,0.49137931,0.06106322,,0.26616379,,0.00359195,,,,"Jose Soriano",22100,667755
2025,"Hunter Greene","CIN",107.2,0.54176201,,,0.10755149,,,0.34954233,0.00114416,,,,,,,"Hunter Greene",22182,668881
2025,"MacKenzie Gore","WSN",159.2,0.4921875,,0.04723011,,,,0.11825284,0.2397017,,,0.10262784,,,,"MacKenzie Gore",22201,669022
2025,"Logan Gilbert","SEA",131,0.36270872,,,0.19619666,,0.01391466,0.35250464,0.07467532,,,,,,,"Logan Gilbert",22250,669302
2025,"Shane Baz","TBR",166.1,0.4392936,,0.14716703,,,,0.03016924,,0.26894776,,0.11442237,,,,"Shane Baz",22264,669358
2025,"Tarik Skubal","DET",195.1,0.2951913,,,0.001053,,0.23692524,0.12495612,0.02772903,,,0.31414531,,,,"Tarik Skubal",22267,669373
2025,"Trevor Rogers","BAL",109.2,0.40688384,,,,,0.15119852,0.19237861,,,,0.24953903,,,,"Trevor Rogers",22286,669432
2025,"Matthew Liberatore","STL",151.2,0.29606365,,0.10469012,,,0.10678392,0.21105528,0.15745394,,,0.1239531,,,,"Matthew Liberatore",22294,669461
2025,"Taj Bradley","- - -",142.2,0.46478873,,0.22799296,0.15492958,,0.00484155,,0.14744718,,,,,,,"Taj Bradley",22543,671737
2025,"Keider Montero","DET",58,0.31673729,,,,,0.19809322,0.23622881,,0.12923729,,0.11970339,,,,"Keider Montero",22630,672456
2025,"Janson Junk","MIA",87.1,0.37850114,,,,,,0.42543528,0.11657835,,,0.07948524,,,,"Janson Junk",23301,676083
2025,"Joey Cantillo","CLE",67,0.42410714,,,,,,0.09107143,0.20892857,,,0.27589286,,,,"Joey Cantillo",23335,676282
2025,"JP Sears","- - -",135.2,0.40617075,,0.00338123,,,0.06424345,0.33981403,0.03677092,,,0.14961961,,,,"JP Sears",23429,676664
2025,"Ben Brown","CHC",75.2,0.58113509,,,,,,,,0.37410072,,0.04476419,,,,"Ben Brown",23590,676962
2025,"Brayan Bello","BOS",161.2,0.15180266,,0.1544592,,,0.34611006,0.19354839,,,,0.1540797,,,,"Brayan Bello",23920,678394
2025,"Simeon Woods Richardson","MIN",107,0.45064138,,,0.10429448,,,0.27384272,0.12827663,,,0.04294479,,,,"Simeon Woods Richardson",24494,680573
2025,"Randy Vásquez","SDP",129,0.20183486,,0.25253501,,,0.19217769,0.15354901,0.13085466,,,0.06904877,,,,"Randy Vasquez",24719,681190
2025,"Mike Burrows","PIT",86.2,0.39108555,,,,,0.05319914,0.1984184,0.11790079,,,0.23939612,,,,"Mike Burrows",24728,681347
2025,"Reese Olson","DET",68.2,0.18377912,,,,,0.28213978,0.22001726,0.05522002,,,0.25884383,,,,"Reese Olson",24968,681857
2025,"Jacob Lopez","ATH",84,0.36504723,,0.1417004,,,0.0465587,0.30566802,,,,0.14102564,,,,"Jacob Lopez",25098,682052
2025,"Brady Singer","CIN",169.2,0.1045614,,0.09684211,,,0.40631579,0.3922807,,,,,,,,"Brady Singer",25377,663903
2025,"Drew Rasmussen","TBR",150,0.35405872,,0.31476684,,,0.2275475,0.04835924,0.04317789,,,0.01208981,,,,"Drew Rasmussen",25385,656876
2025,"George Kirby","SEA",126,0.28954938,,,0.02684564,,0.26653883,0.27372963,,0.12128476,,0.02205177,,,,"George Kirby",25436,669923
2025,"Hunter Brown","HOU",185.1,0.37981094,,0.05536799,,,0.22147198,0.04422687,,0.17893315,,0.12018906,,,,"Hunter Brown",25880,686613
2025,"Quinn Priester","MIL",130.2,,,0.22422179,,,0.40126459,0.27285992,0.08560311,,,0.01605058,,,,"Quinn Priester",25977,682990
2025,"Brandon Walter","HOU",53.2,0.19287469,,0.27395577,,,0.12530713,0.22481572,,,,0.18304668,,,,"Brandon Walter",26056,687888
2025,"Andre Pallante","STL",162.2,0.44044118,,,,,0.13235294,0.28713235,,0.14007353,,,,,,"Andre Pallante",26108,669467
2025,"Ryan Pepiot","TBR",167.2,0.45090774,,0.07002594,,,0.0244535,0.17154502,0.03297518,,,0.25009263,,,,"Ryan Pepiot",26221,686752
2025,"Ryne Nelson","ARI",128,0.63043478,,0.11067194,,,,0.12302372,0.11462451,,,0.02124506,,,,"Ryne Nelson",26253,669194
2025,"Nick Lodolo","CIN",155.2,0.29142857,,,,,0.20326531,,0.28612245,,,0.21918367,,,,"Nick Lodolo",26378,666157
2025,"Bradley Blalock","COL",55.2,0.4682377,,0.10040984,0.14856557,,,0.1567623,0.12602459,,,,,,,"Bradley Blalock",26419,687134
2025,"Ryan Gusto","- - -",81.2,0.41275403,,0.12123336,,,0.10441486,0.10231254,0.16327961,,,0.09600561,,,,"Ryan Gusto",26440,687473
2025,"Garrett Crochet","BOS",205.1,0.36190476,,0.27809524,,,0.15809524,0.15936508,,,,0.04253968,,,,"Garrett Crochet",27463,676979
2025,"Emerson Hancock","SEA",81.1,0.26060139,,,,,0.38087895,0.15651503,,,,0.20200463,,,,"Emerson Hancock",27470,676106
2025,"Max Meyer","MIA",64.2,0.22232916,,,,,0.13666987,0.46775746,,,,0.1732435,,,,"Max Meyer",27474,676974
2025,"Spencer Strider","ATL",125.1,0.51232227,,,,,,0.35260664,0.08909953,,,0.04597156,,,,"Spencer Strider",27498,675911
2025,"Slade Cecconi","CLE",132,0.43577315,,0.02714493,,,0.11003393,0.18710616,0.16480853,,,0.0751333,,,,"Slade Cecconi",27500,677944
2025,"Logan Allen","CLE",155.2,0.3359317,,0.11618411,,,0.13177431,0.23273942,,,,0.18337045,,,,"Logan Allen",27589,671106
2025,"Mitchell Parker","WSN",158.1,0.55390476,,,0.10971429,,,0.11733333,0.21904762,,,,,,,"Mitchell Parker",27636,680730
2025,"Luis Ortiz","CLE",88.2,0.29380413,,0.12258494,,,0.1952032,0.25916056,,,,0.12924717,,,,"Luis Ortiz",27646,682847
