Season,Name,Team,IP,FA-AA,FC-AA,FS-AA,FO-AA,SI-AA,SL-AA,CU-AA,KC-AA,EP-AA,CH-AA,SC-AA,KN-AA,NameASCII,PlayerId,MLBAMID
2025,"Shane Baz","TBR",166.1,35.915181375628144,33.5733740234375,,,,37.57582352801067,,40.04985678864569,,35.288792453778136,,,"Shane Baz",22264,669358
2025,"Tarik Skubal","DET",195.1,52.30578831004756,,47.73405965169271,,50.028003472222224,49.31567108497191,53.80774080300633,,,46.32195356145252,,,"Tarik Skubal",22267,669373
2025,"Trevor Rogers","BAL",109.2,22.338666564388216,,,,22.575123856707318,21.254085650459267,,,,21.836493130387932,,,"Trevor Rogers",22286,669432
2025,"Matthew Liberatore","STL",151.2,48.29780874292786,46.4575625,,,46.21003370098039,45.745640345982146,50.79484915226064,,,41.96113875105574,,,"Matthew Liberatore",22294,669461
2025,"Taj Bradley","- - -",142.2,53.68695623224432,53.579774598817565,51.70519464666193,,55.80252040516246,,58.11444729477612,,,,,,"Taj Bradley",22543,671737
2025,"Keider Montero","DET",58,41.3497204222408,,,,39.11741989054144,40.90905269058296,,46.15198754482582,,38.29845651272124,,,"Keider Montero",22630,672456
2025,"Janson Junk","MIA",87.1,55.91367578125,,,,,51.59703416926157,53.0178412895698,,,43.25070219494047,,,"Janson Junk",23301,676083
2025,"Joey Cantillo","CLE",67,52.768778782894735,,,,,51.589987362132355,55.69616386217949,,,52.607788480987054,,,"Joey Cantillo",23335,676282
2025,"JP Sears","- - -",135.2,29.703394799525235,33.63029098510742,,,23.623911807411595,22.209096424615204,25.750176068010003,,,20.721151750640008,,,"JP Sears",23429,676664
2025,"Ben Brown","CHC",75.2,43.821478464580466,,,,,,,46.338583400106835,,42.520311628069194,,,"Ben Brown",23590,676962
2025,"Brayan Bello","BOS",161.2,33.72222412109375,34.94973222512285,,,33.09546326754386,32.04198644301471,,,,29.780687153633004,,,"Brayan Bello",23920,678394
2025,"Simeon Woods Richardson","MIN",107,47.11593537283416,,44.56003509358289,,,42.18292149312627,49.858958899456525,,,44.95157454849838,,,"Simeon Woods Richardson",24494,680573
2025,"Randy Vásquez","SDP",129,36.26149680397727,37.11342689412046,,,34.35756173445352,31.835010072720127,37.90366985701107,,,33.07164759069056,,,"Randy Vasquez",24719,681190
2025,"Mike Burrows","PIT",86.2,47.94097541360294,,,,45.0860694679054,46.65932829483695,48.99518268864329,,,49.191755231794296,,,"Mike Burrows",24728,681347
2025,"Reese Olson","DET",68.2,35.95289346757629,,,,36.43677429759175,37.55130974264706,41.23659133911133,,,35.10087890625,,,"Reese Olson",24968,681857
2025,"Jacob Lopez","ATH",84,23.715869050369687,23.365006510416666,,,20.741092405457426,18.232042459988964,,,,15.752436733702153,,,"Jacob Lopez",25098,682052
2025,"Brady Singer","CIN",169.2,27.694801279362416,26.862439141757246,,,23.611935314119172,25.55038293828265,,,,,,,"Brady Singer",25377,663903
2025,"Drew Rasmussen","TBR",150,59.47231326219512,53.8833912037037,,,50.035326731499055,47.96907697405134,58.2224853515625,,,52.07859584263393,,,"Drew Rasmussen",25385,656876
2025,"George Kirby","SEA",126,28.82743623240894,,27.330455235072545,,28.226209462117804,27.398162147000875,,28.17138671875,,25.93798828125,,,"George Kirby",25436,669923
2025,"Hunter Brown","HOU",185.1,58.73308333333333,56.74755859375,,,54.030589033917686,56.735746660305345,,57.79191111438679,,48.252600509129216,,,"Hunter Brown",25880,686613
