Season,Name,Team,IP,FA-SPN,FC-SPN,FS-SPN,FO-SPN,SI-SPN,SL-SPN,CU-SPN,KC-SPN,EP-SPN,CH-SPN,SC-SPN,KN-SPN,NameASCII,PlayerId,MLBAMID
2025,"Jameson Taillon","CHC",129.2,2321.246719160105,2533.453287197232,,,2211.6470588235293,2718.8595317725753,2580.2463235294117,,,1752.7737556561085,,,"Jameson Taillon",11674,592791
2025,"Taijuan Walker","PHI",103.2,2128.3395061728397,2429.5570866141734,1451.9974093264248,,1962.672463768116,2462.1761658031087,2422.415254237288,,,,,,"Taijuan Walker",11836,592836
2025,"Kyle Hendricks","LAA",164.2,2048.5102040816328,,,,1981.9409368635438,,2822.646226415094,,,2077.3961499493416,,,"Kyle Hendricks",12049,543294
2025,"Chris Bassitt","TOR",169.1,2149.889733840304,2222.922268907563,1365.8837209302326,,2096.3202725724022,2347.4074074074074,2271.7816593886464,,,1916.9342105263158,,,"Chris Bassitt",12304,605135
2025,"Colin Rea","CHC",143.1,2197.206510681587,2215.5324675324673,1412.2105263157894,,2153.248927038627,2328.9323144104806,2213.1784037558687,,,,,,"Colin Rea",12317,607067
2025,"Seth Lugo","KCR",145.1,2350.0257936507937,2453.1492537313434,1416.4285714285713,,2402.3612716763005,2651.9944134078214,3142.640909090909,2629.3245614035086,,1670.7543859649122,,,"Seth Lugo",12447,607625
2025,"Adrian Houser","- - -",125,2301.285067873303,,,,2201.6179516685847,2431.9828767123286,1964.6877828054298,,,1612.6262975778548,,,"Adrian Houser",12718,605288
2025,"Nick Martinez","CIN",145,2316.057971014493,2363.456842105263,,,2294.1026315789472,2431.3092369477913,2590.503968253968,,,1995.874720357942,,,"Nick Martinez",12730,607259
2025,"Sonny Gray","STL",180.2,2500.513201320132,2678.7558139534885,,,2389.0528541226217,2657.68838028169,2583.41046277666,2358.5,,1859.8122270742358,,,"Sonny Gray",12768,543243
2025,"Tyler Anderson","LAA",136.1,2184.767077267637,2294.4300626304803,,,2142.364705882353,2327.560975609756,2045.6,,,1916.3811320754717,,,"Tyler Anderson",12880,542881
2025,"Yu Darvish","SDP",72,2358.0988372093025,2521.6879432624114,1144.5040650406504,,2282.768292682927,2747.0938628158847,2507.04469273743,2544.9285714285716,,1777.8333333333333,,,"Yu Darvish",13074,506433
2025,"Eduardo Rodriguez","ARI",154.1,2304.6297520661155,2266.2923832923834,,,2280.0454545454545,2177.4031007751937,2357.521276595745,,,1932.9357277882798,,,"Eduardo Rodriguez",13164,593958
2025,"Blake Snell","LAD",61.1,2452.926339285714,,,,,2314.40350877193,2516.9103139013455,,,1793.1275720164608,,,"Blake Snell",13543,605483
2025,"Clay Holmes","NYM",161,2303.802721088435,2446.780701754386,,,2181.089072543618,2719.3985148514853,,,,1105.0807600950118,,,"Clay Holmes",13649,605280
2025,"Max Fried","NYY",195.1,2211.4289405684754,2302.4919724770643,,,2132.137931034483,2793.2470308788597,2919.9664804469276,,,1658.7214076246335,,,"Max Fried",13743,608331
2025,"Zach Eflin","BAL",71.1,2179.097222222222,2227.3142857142857,,,2072.9150943396226,2397.8364779874214,2484.153846153846,,,1646.081081081081,,,"Zach Eflin",13774,621107
2025,"Michael Wacha","KCR",172.2,2150.976683937824,2112.612195121951,,,2045.842105263158,1955.8031746031745,2260.5048543689322,,,1537.056129985229,,,"Michael Wacha",14078,608379
2025,"Kevin Gausman","TOR",193,2260.332923832924,,1691.0413368513632,,2280.5,2331.505703422053,,,,,,,"Kevin Gausman",14107,592332
2025,"Lance McCullers Jr.","HOU",51.1,2296.9692307692308,2518.5510204081634,,,2243.361344537815,2877.6580459770116,,2990.8816568047337,,1848.4598930481284,,,"Lance McCullers Jr.",14120,621121
2025,"José Berríos","TOR",164,2126.6736842105265,2308.0855263157896,,,2026.5576923076924,,2360.257229832572,,,1555.4801864801864,,,"Jose Berrios",14168,621244
